,file_name,caption,evaluation
90,91.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
91,92.jpg,one full transparent closed cylindrical plastic bottle with a twist finish and push-pull closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
92,93.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
93,94.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
94,95.jpg,one empty translucent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
95,96.jpg,one empty transparent open cylindrical plastic bottle with a snap finish and no closure,one empty transparent open cylindrical plastic bottle with a twist finish and no closure
96,97.jpg,one full opaque closed rectangular plastic bottle with a twist finish handle and screw closure,"one full opaque closed rectangular plastic bottle with a twist finish, handle and screw closure"
97,98.jpg,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
98,99.jpg,one full opaque closed cylindrical metal bottle with a twist finish handle and screw closure,"one full opaque closed cylindrical metal bottle with a twist finish, handle and screw closure"
99,100.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
100,101.jpg,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
101,102.jpg,two empty transparent open cylindrical plastic bottle with a twist finish and no closure,two empty translucent open cylindrical glass bottle with a twist finish and no closure
102,103.jpg,one full transparent closed cylindrical glass bottle with a twist finish and screw closure,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
103,104.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
104,105.jpg,one empty transparent open cylindrical glass bottle with a twist finish and no closure,one empty transparent open cylindrical glass bottle with a twist finish and no closure
105,106.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
106,107.jpg,one empty transparent open cylindrical glass jar with a twist finish handle and no closure,"one empty transparent open cylindrical glass jar with a twist finish, handle and no closure"
107,108.jpg,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
108,109.jpg,one empty transparent open cylindrical glass bottle with a snap finish and no closure,one empty transparent open cylindrical glass bottle with a snap finish and no closure
109,110.jpg,one empty transparent open cylindrical glass jar with a twist finish and no closure,one empty transparent open cylindrical glass jar with a twist finish and no closure
110,111.jpg,one empty transparent open cylindrical glass jar with a twist finish and no closure,one empty transparent open cylindrical glass jar with a twist finish and no closure
111,112.jpg,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
112,113.jpg,one empty transparent open cylindrical glass jar with a twist finish and no closure,one empty transparent open cylindrical glass jar with a twist finish and no closure
113,114.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
114,115.jpg,several empty translucent open cylindrical glass bottle with a snap finish and no closure,several empty translucent open cylindrical glass bottle with a snap finish and no closure
115,116.jpg,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
116,117.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
117,118.jpg,several empty transparent closed rectangular glass jar with a twist finish and screw closure,several empty transparent closed rectangular glass jar with a twist finish and screw closure
118,119.jpg,one full opaque closed cylindrical glass jar with a twist finish and screw closure,one full transparent closed cylindrical plastic bottle with a twist finish and screw closure
119,120.jpg,one full opaque open cylindrical metal bottle with a twist finish and no closure,one full opaque open cylindrical metal bottle with a twist finish and no closure
120,121.jpg,one empty transparent closed cylindrical glass jar with a snap finish and snap closure,one empty transparent open cylindrical glass jar with a snap finish and no closure
121,122.jpg,one empty transparent closed cylindrical glass jar with a snap finish and snap closure,one empty transparent open cylindrical glass jar with a snap finish and no closure
122,123.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
123,124.jpg,one full transparent closed cylindrical glass jar with a twist finish and screw closure,one full transparent closed cylindrical glass jar with a twist finish and screw closure
124,125.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
125,126.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
126,127.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
127,128.jpg,several empty transparent closed cylindrical glass jar with a twist finish and screw closure,two empty transparent closed cylindrical glass jar with a twist finish and screw closure
128,129.jpg,one empty transparent open cylindrical glass jar with a twist finish and no closure,one empty transparent open cylindrical glass jar with a twist finish and no closure
129,130.jpg,one empty transparent closed cylindrical glass jar with a snap finish and snap closure,one empty transparent closed cylindrical glass jar with a snap finish and snap closure
130,131.jpg,one full transparent closed cylindrical glass jar with a snap finish and snap closure,one full transparent open cylindrical glass jar with a snap finish and no closure
131,132.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
132,133.jpg,one full transparent closed cylindrical glass jar with a snap finish and snap closure,several full transparent closed cylindrical glass jar with a twist finish and screw closure
133,134.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
134,135.jpg,one empty transparent open cylindrical glass jar with a twist finish and no closure,one empty transparent open cylindrical glass jar with a twist finish and no closure
135,136.jpg,one empty transparent closed cylindrical glass jar with a snap finish and snap closure,one empty transparent open oval glass jar with a snap finish and no closure
136,137.jpg,one empty transparent closed cylindrical glass jar with a snap finish and snap closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
137,138.jpg,one empty transparent closed rectangular glass jar with a twist finish and screw closure,one empty transparent closed rectangular glass jar with a twist finish and screw closure
138,139.jpg,one empty transparent closed cylindrical glass jar with a twist finish handle and screw closure,"one empty transparent closed cylindrical glass jar with a twist finish, handle and screw closure"
139,140.jpg,one empty transparent closed cylindrical glass jar with a snap finish and snap closure,one empty transparent open cylindrical glass bottle with a twist finish and no closure
140,141.jpg,one empty transparent closed cylindrical glass jar with a snap finish and snap closure,one empty transparent open cylindrical glass jar with a snap finish and no closure
141,142.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
142,143.jpg,one empty transparent closed rectangular glass jar with a twist finish and screw closure,one empty transparent closed rectangular glass jar with a twist finish and screw closure
143,144.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
144,145.jpg,two empty transparent closed cylindrical glass jar with a snap finish and snap closure,two full transparent closed cylindrical glass jar with a snap finish and snap closure
145,146.jpg,several empty transparent closed cylindrical glass jar with a snap finish and cork closure,several empty transparent closed cylindrical glass jar with a twist finish and screw closure
146,147.jpg,one empty transparent closed cylindrical glass jar with a swing-top finish and swing-top closure,one empty transparent closed cylindrical glass jar with a swing-top finish and swing-top closure
147,148.jpg,one empty transparent closed cylindrical glass jar with a snap finish handle and snap closure,one empty transparent open cylindrical glass jar with a snap finish and no closure
148,149.jpg,one empty transparent closed rectangular glass bottle with a twist finish and screw closure,one empty transparent open cylindrical glass bottle with a twist finish and no closure
149,150.jpg,two full transparent closed cylindrical glass bottle with a snap finish and snap closure,two full transparent closed cylindrical glass bottle with a snap finish and snap closure
150,151.jpg,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure,one empty transparent open cylindrical glass bottle with a snap finish and no closure
151,152.jpg,one empty transparent closed oval glass bottle with a snap finish and cork closure,one empty transparent closed cylindrical glass bottle with a snap finish and cork closure
152,153.jpg,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
153,154.jpg,two full transparent open cylindrical glass bottle with a twist finish and no closure,several full transparent open cylindrical glass bottle with a twist finish and no closure
154,155.jpg,one empty transparent open cylindrical glass bottle with a snap finish handle and no closure,"one empty transparent open cylindrical glass bottle with a twist finish, handle and no closure"
155,156.jpg,one empty transparent closed cylindrical glass bottle with a snap finish and snap closure,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
156,157.jpg,one full opaque closed cylindrical metal bottle with a twist finish and screw closure,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
157,158.jpg,one empty transparent closed cylindrical glass bottle with a snap finish and snap closure,one empty transparent open cylindrical glass bottle with a snap finish and no closure
158,159.jpg,several empty translucent closed cylindrical glass bottle with a twist finish and screw closure,several empty translucent closed cylindrical glass bottle with a twist finish and screw closure
159,160.jpg,several empty transparent closed cylindrical glass jar with a twist finish and screw closure,several empty transparent closed cylindrical glass jar with a twist finish and screw closure
160,161.jpg,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
161,162.jpg,one empty transparent open rectangular glass bottle with a twist finish and no closure,one empty transparent open rectangular glass bottle with a twist finish and no closure
162,163.jpg,one empty transparent closed rectangular glass jar with a twist finish and screw closure,one empty transparent closed rectangular glass jar with a twist finish and screw closure
163,164.jpg,one empty translucent closed cylindrical glass bottle with a swing-top finish and swing-top closure,one empty transparent closed cylindrical glass bottle with a snap finish and swing-top closure
164,165.jpg,one empty transparent closed rectangular glass bottle with a twist finish and screw closure,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
165,166.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
166,167.jpg,one empty transparent open cylindrical glass bottle with a twist finish and no closure,one empty transparent open cylindrical glass bottle with a twist finish and no closure
167,168.jpg,two full transparent open cylindrical glass bottle with a snap finish and no closure,two empty transparent open rectangular glass bottle with a snap finish and no closure
168,169.jpg,one empty transparent open rectangular glass bottle with a twist finish and no closure,one empty transparent open cylindrical glass bottle with a twist finish and no closure
169,170.jpg,several full transparent closed cylindrical glass bottle with a swing-top finish and swing-top closure,several empty transparent closed cylindrical glass bottle with a snap finish and snap closure
170,171.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
171,172.jpg,one full opaque closed cylindrical glass bottle with a twist finish and screw closure,one empty translucent closed cylindrical plastic bottle with a twist finish and screw closure
172,173.jpg,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure,one empty transparent closed cylindrical glass bottle with a twist finish and screw closure
173,174.jpg,two empty transparent closed oval glass bottle with a snap finish and cork closure,two empty transparent closed oval glass bottle with a snap finish and cork closure
174,175.jpg,one empty transparent open cylindrical glass bottle with a snap finish and no closure,one empty transparent open cylindrical glass bottle with a twist finish and no closure
175,176.jpg,one empty transparent open rectangular glass bottle with a snap finish and no closure,one empty transparent open cylindrical glass bottle with a twist finish and no closure
176,177.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
177,178.jpg,one empty transparent closed cylindrical glass jar with a snap finish and snap closure,one empty transparent closed cylindrical glass jar with a snap finish and snap closure
178,179.jpg,one full opaque open cylindrical plastic jar with a twist finish and no closure,one full opaque open cylindrical plastic jar with a twist finish and no closure
179,180.jpg,one empty translucent closed cylindrical plastic jar with a twist finish and screw closure,one full opaque closed cylindrical plastic jar with a twist finish and screw closure
180,181.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
181,182.jpg,one empty translucent closed cylindrical plastic container with a snap finish and snap closure,one empty translucent closed cylindrical plastic container with a snap finish and snap closure
182,183.jpg,one empty transparent open cylindrical plastic container with a snap finish and no closure,one empty transparent open cylindrical plastic container with a snap finish and no closure
183,184.jpg,two empty transparent closed rectangular plastic jar with a twist finish and screw closure,two empty transparent closed rectangular plastic jar with a twist finish and screw closure
184,185.jpg,one empty transparent open cylindrical glass jar with a twist finish and no closure,one empty transparent open cylindrical glass jar with a twist finish and no closure
185,186.jpg,several empty transparent closed rectangular plastic jar with a twist finish and screw closure,several empty transparent closed cylindrical glass jar with a twist finish and screw closure
186,187.jpg,one empty transparent open cylindrical plastic jar with a twist finish and no closure,one empty transparent closed cylindrical plastic jar with a twist finish and screw closure
187,188.jpg,one empty transparent closed cylindrical plastic bottle with a snap finish and snap closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
188,189.jpg,one full translucent closed cylindrical plastic jar with a twist finish and screw closure,one full translucent closed cylindrical plastic jar with a twist finish and screw closure
189,190.jpg,one empty transparent closed rectangular plastic jar with a twist finish and screw closure,one empty transparent closed cylindrical plastic bottle with a twist finish and screw closure
190,191.jpg,one full opaque closed cylindrical plastic jar with a twist finish and screw closure,one full opaque open cylindrical plastic jar with a twist finish and no closure
191,192.jpg,one empty transparent open cylindrical plastic jar with a twist finish and no closure,one empty transparent open cylindrical glass bottle with a twist finish and no closure
192,193.jpg,two empty transparent closed cylindrical plastic jar with a twist finish and screw closure,two empty transparent closed cylindrical glass jar with a twist finish and screw closure
193,194.jpg,one empty transparent closed cylindrical plastic jar with a twist finish handle and screw closure,one empty transparent closed cylindrical plastic jar with a twist finish and screw closure
194,195.jpg,one empty transparent closed cylindrical plastic jar with a twist finish and screw closure,one empty transparent closed cylindrical plastic jar with a twist finish and screw closure
195,196.jpg,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure,one full opaque closed cylindrical plastic bottle with a twist finish and screw closure
196,197.jpg,one full opaque closed cylindrical plastic jar with a twist finish and screw closure,one full opaque closed cylindrical plastic jar with a twist finish and screw closure
197,198.jpg,one empty transparent open cylindrical plastic jar with a twist finish and no closure,one empty transparent open cylindrical glass jar with a twist finish and no closure
198,199.jpg,two empty transparent closed cylindrical glass jar with a twist finish and screw closure,two empty transparent closed cylindrical plastic jar with a twist finish and screw closure
199,200.jpg,one full opaque open cylindrical plastic jar with a twist finish and no closure,one full opaque open cylindrical plastic jar with a twist finish and no closure
200,201.jpg,one empty transparent open cylindrical plastic container with a snap finish and no closure,one empty transparent open cylindrical glass container with a snap finish and no closure
201,202.jpg,one empty transparent closed cylindrical plastic jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
202,203.jpg,one empty transparent open cylindrical glass jar with a twist finish and no closure,one empty transparent open cylindrical glass jar with a twist finish and no closure
203,204.jpg,two empty transparent closed cylindrical plastic jar with a twist finish and screw closure,two empty transparent closed cylindrical glass jar with a twist finish and screw closure
204,205.jpg,one empty transparent closed cylindrical plastic bottle with a twist finish handle and screw closure,"one empty transparent closed cylindrical plastic jar with a twist finish, handle and screw closure"
205,206.jpg,one empty transparent closed cylindrical glass jar with a snap finish and snap closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
206,207.jpg,one empty transparent closed cylindrical glass jar with a twist finish and screw closure,one empty transparent closed cylindrical glass jar with a twist finish and screw closure
207,208.jpg,one full opaque closed cylindrical plastic jar with a twist finish and screw closure,one full transparent closed cylindrical plastic jar with a twist finish and screw closure
